Movie,Runtime (in min),Genre,Rating,Box Office,Director
Minority Report,145,"Action, Crime, Mystery",7.6,$132.07M,Steven Spielberg
The Royal Tenenbaums,110,"Comedy, Drama",7.6,$52.36M,Wes Anderson
Love Actually,135,"Comedy, Drama, Romance",7.6,$59.70M,Richard Curtis
Die Hard with a Vengeance,128,"Action, Adventure, Thriller",7.6,$100.01M,John McTiernan
Eastern Promises,100,"Crime, Drama, Thriller",7.6,$17.11M,David Cronenberg
The Station Agent,89,"Comedy, Drama",7.6,$5.74M,Tom McCarthy
Watchmen,162,"Action, Drama, Mystery",7.6,$107.51M,Zack Snyder
Vera Drake,125,"Crime, Drama",7.6,$3.75M,Mike Leigh
Despicable Me,95,"Animation, Adventure, Comedy",7.6,$251.51M,Pierre Coffin
Inside Man,129,"Crime, Drama, Mystery",7.6,$88.51M,Spike Lee
Zombieland,88,"Action, Comedy, Horror",7.6,$75.59M,Ruben Fleischer
Lost Highway,134,"Mystery, Thriller",7.6,$3.80M,David Lynch
The Reader,124,"Drama, Romance",7.6,$34.19M,Stephen Daldry
300,117,"Action, Drama",7.6,$210.61M,Zack Snyder
American Psycho,102,"Crime, Drama, Horror",7.6,$15.07M,Mary Harron
Sherlock Holmes,128,"Action, Adventure, Mystery",7.6,$209.03M,Guy Ritchie
Lord of War,122,"Crime, Drama",7.6,$24.15M,Andrew Niccol
Traffic,147,"Crime, Drama, Thriller",7.6,$124.12M,Steven Soderbergh
Falling Down,113,"Action, Crime, Drama",7.6,$40.90M,Joel Schumacher
Mysterious Skin,105,Drama,7.6,$0.70M,Gregg Araki
The Hunger Games: Catching Fire,146,"Action, Adventure, Sci-Fi",7.5,$424.67M,Francis Lawrence
The Life of David Gale,130,"Crime, Drama, Thriller",7.5,$19.59M,Alan Parker
Sideways,127,"Comedy, Drama, Romance",7.5,$71.50M,Alexander Payne
Babel,143,Drama,7.5,$34.30M,Alejandro G. Iñárritu
Gangs of New York,167,"Crime, Drama",7.5,$77.81M,Martin Scorsese
The Hurt Locker,131,"Drama, Thriller, War",7.5,$17.02M,Kathryn Bigelow
Jackie Brown,154,"Crime, Drama, Thriller",7.5,$39.67M,Quentin Tarantino
Collateral,120,"Action, Crime, Drama",7.5,$101.01M,Michael Mann
Sleepers,147,"Crime, Drama, Thriller",7.5,$49.10M,Barry Levinson
The Aviator,170,"Biography, Drama",7.5,$102.61M,Martin Scorsese
Ne le dis à personne,131,"Crime, Drama, Mystery",7.5,$6.18M,Guillaume Canet
Midnight Run,126,"Action, Comedy, Crime",7.5,$38.41M,Martin Brest
Ice Age,81,"Animation, Adventure, Comedy",7.5,$176.39M,Chris Wedge
Milk,128,"Biography, Drama, History",7.5,$31.84M,Gus Van Sant
The Piano,121,"Drama, Music, Romance",7.5,$40.16M,Jane Campion
Thelma & Louise,130,"Adventure, Crime, Drama",7.5,$45.36M,Ridley Scott
Fear and Loathing in Las Vegas,118,"Adventure, Comedy, Drama",7.5,$10.68M,Terry Gilliam
The Illusionist,110,"Drama, Fantasy, Mystery",7.5,$39.87M,Neil Burger
